Receta,Score,Quantity Score,Dificultad,Tiempo Preparación,Tiempo Total,Cantidades,Ingredientes,Nutrición
Mousse de crema de orujo,4.7,19 valoraciones,medio,15min,2h,8 raciones,"['3 hojas de gelatina', '350 g de nata (35% de grasa)', '35 g de azúcar glas', '150 g crema de orujo', '2 cucharadas de muesli crujiente (opcional)']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '189 kcal / 789 kJ'), ('Proteína', '1.13 g'), ('Grasa', '15.09 g'), ('Carbohidratos', '8.79 g'), ('Fibra', '0.13 g')]"
Croquetas de piquillos,4.0,86 valoraciones,medio,30min,9h 15min,50 unidades,"['50 g de aceite', '100 g de mantequilla', '30 g de cebolla', '170 g de harina', '750 g de leche', '1 pellizco de nuez moscada molida', '1 pellizco de pimienta molida', '1 cucharadita de sal', '300 g de pimientos del piquillo (bien escurridos)', '200 g de pan rallado', '4 huevos batidos', '500 g de aceite para freír']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '98 kcal / 410 kJ'), ('Proteína', '2.03 g'), ('Grasa', '7.25 g'), ('Carbohidratos', '6.18 g'), ('Fibra', '0.27 g')]"
Maki sushi de aguacate y salmón (Japón),3.9,38 valoraciones,medio,30min,1h,6 raciones,"['120 g de vinagre de arroz', '40 g de azúcar', '10 g de sal', '300 g de arroz de grano redondo', '3 trozos de alga kombu', '880 g de agua', '6 láminas de alga nori (de 20x10 cm)', '10 - 15 g de wasabi en pasta', '100 g de lomos de salmón fresco sin piel ni espinas (en 12 bastones de 1x10 cm)', '100 g de aguacate (en 12 bastones de 1x10 cm)']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '248 kcal / 1038 kJ'), ('Proteína', '7.1 g'), ('Grasa', '4.5 g'), ('Carbohidratos', '44.9 g'), ('Fibra', '1.5 g'), ('Grasas saturadas', '0.9 g'), ('Sodio', '659.6 mg')]"
Calendario de Adviento de galletas,4.5,20 valoraciones,medio,30min,1h 10min,24 unidades,"['120 g de azúcar glas', '400 g de harina de repostería', '240 g de mantequilla a temperatura ambiente, en trozos', '1 huevo', '2 claras de huevo', '200 g de azúcar glas', '1 cucharadita de zumo de limón', '150 g de fondant rojo']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '213.3 kcal / 890 kJ'), ('Proteína', '2.4 g'), ('Grasa', '8.8 g'), ('Carbohidratos', '31.1 g'), ('Fibra', '0.6 g')]"
Pera en hojaldre y ensalada con roquefort y nueces,4.8,110 valoraciones,medio,20min,45min,4 raciones,"['4 peras conferencia maduras', '½ limón', '1 lámina de masa de hojaldre de 25x40 cm (aprox. 275 g)', '1 huevo batido', '150 g de hojas baby de ensalada variada', '40 g de nueces peladas troceadas', '60 g de queso roquefort\no bien 60 g de queso azul', '40 g de aceite de oliva virgen extra', '10 g de vinagre balsámico', '15 g de miel', '½ cucharadita de sal']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '570 kcal / 2383 kJ'), ('Proteína', '10.04 g'), ('Grasa', '43.36 g'), ('Carbohidratos', '34.76 g'), ('Fibra', '4.47 g')]"
Hornazo de Salamanca,4.5,81 valoraciones,medio,15min,50min,8 raciones,"['100 g de agua', '100 g de vino blanco', '100 g de manteca de cerdo', '100 g de aceite de oliva (y algo más para engrasar la bandeja)', '1 pellizco de azúcar', '30 g de levadura prensada fresca', '2 huevos (1 para la masa y 1 batido para pincelar)', '650 g de harina de trigo', '1 cucharada de sal', '600 g de magro de cerdo en trozos', '500 g de longaniza fresca sin piel']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '736 kcal / 3076 kJ'), ('Proteína', '35.3 g'), ('Grasa', '39.7 g'), ('Carbohidratos', '58.8 g'), ('Fibra', '3.1 g')]"
Tortilla de patata (sin huevo),4.0,68 valoraciones,medio,15min,30min,6 raciones,"['60 g de harina de garbanzos', '60 g de harina de maíz amarilla', '½ cucharadita de bicarbonato', '1 cucharadita de vinagre de vino blanco', '200 g de agua', '1 cucharadita de sal', '200 g de cebolla en cuartos', '200 g de aceite de oliva', '500 - 600 g de patatas para freír cortadas en rodajas de 3-4 mm']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '447 kcal / 1871 kJ'), ('Proteína', '5.1 g'), ('Grasa', '34.2 g'), ('Carbohidratos', '31.1 g'), ('Fibra', '4.1 g'), ('Grasas saturadas', '4.7 g'), ('Sodio', '507.7 mg')]"
Canelones de atún fresco con bechamel de calabacín,4.9,475 valoraciones,medio,30min,1h,4 raciones,"['60 g de cebolla', '30 g de pimiento verde', '50 g de calabacín', '20 g de aceite de oliva virgen extra', '50 g de tomate frito estilo casero', '250 g de atún fresco en trozos', '1 cucharadita de sal', '12 placas de canelones precocidas', '3 dientes de ajo', '50 g de aceite de oliva virgen extra', '300 g de calabacín en trozos', '1 cucharadita de pimienta negra recién molida', '5 filetes de anchoa en aceite', '2 - 3 hojas de albahaca fresca', '100 g de nata', '30 g de queso parmesano rallado para espolvorear']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '474 kcal / 1980 kJ'), ('Proteína', '24.05 g'), ('Grasa', '17.84 g'), ('Carbohidratos', '31.71 g'), ('Fibra', '3.63 g')]"
Minicocas con confitura de pimiento,5.0,2 valoraciones,medio,30min,1h 30min,12 unidades,"['80 g de agua', '5 g de levadura prensada fresca', '5 g de miel', '130 g de harina de fuerza', '¼ de cucharadita de sal', '400 g de pimiento rojo en trozos', '200 g de azúcar', '100 g de vinagre', '50 g de agua', '2 - 3 cucharadas de aceite de oliva', '2 - 3 cucharadas de azúcar', '50 g de licor de anís', '100 g de queso cremoso']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '156 kcal / 651 kJ'), ('Proteína', '2.1 g'), ('Grasa', '5.9 g'), ('Carbohidratos', '21.2 g'), ('Fibra', '0.7 g'), ('Grasas saturadas', '2 g'), ('Sodio', '81 mg')]"
Brazo gitano de café,4.6,19 valoraciones,medio,20min,1h 30min,10 raciones,"['40 g de licor de avellanas', '20 g de avellanas', '5 huevos', '100 g de azúcar (y algo más para espolvorear)', '100 g de harina de repostería', '5 g de café soluble', '1 pellizco de sal', '80 g de azúcar', '150 g de queso mascarpone', '200 g de queso cremoso', '100 g de nata (35% de grasa)', '1 cucharadita de vainilla líquida', '5 g de café soluble', '150 g de chocolate fondant para postres (50% cacao) en trozos', '50 g de agua', '50 g de mantequilla', '10 - 20 g de avellanas troceadas', '1 - 2 cucharadas de azúcar glas']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '466 kcal / 1952 kJ'), ('Proteína', '8.2 g'), ('Grasa', '31.4 g'), ('Carbohidratos', '38.5 g'), ('Fibra', '2.3 g'), ('Grasas saturadas', '16.3 g'), ('Sodio', '185.4 mg')]"
Brazo gitano de pimientos del piquillo,4.7,40 valoraciones,medio,15min,1h 30min,8 raciones,"['100 g de pimientos del piquillo (escurridos)', '2 huevos', '120 - 125 g de yogur natural', '50 g de aceite de girasol', '100 g de harina de repostería', '1 cucharadita de polvo de hornear', '1 pellizco de pimienta molida', '½ cucharadita de sal', '50 g de nueces peladas', '250 g de queso cremoso', '50 g de mayonesa', '100 g de bonito en aceite (escurrido)', '75 g de maíz dulce en conserva (escurrido)', '80 - 90 g de canónigos']","[('Inf. nutricional', 'por 1 raciones'), ('Calorías', '358 kcal / 1499 kJ'), ('Proteína', '10.1 g'), ('Grasa', '28.9 g'), ('Carbohidratos', '15.6 g'), ('Fibra', '1.1 g'), ('Grasas saturadas', '8.8 g'), ('Sodio', '466.9 mg')]"
Trenza de queso y cebolleta,4.6,9 valoraciones,medio,15min,1h 45min,10 rebanadas,"['150 g de leche entera', '40 g de mantequilla', '40 g de azúcar', '1 yema de huevo', '15 g de levadura prensada fresca', '300 g de harina de fuerza', '½ cucharadita de sal', '200 g de queso cheddar', '130 g de cebolleta en cuartos', '2 cucharadas de cebollino fresco picado']","[('Inf. nutricional', 'por 1 rebanada'), ('Calorías', '243 kcal / 1019 kJ'), ('Proteína', '9.9 g'), ('Grasa', '10.6 g'), ('Carbohidratos', '27.2 g'), ('Fibra', '1.5 g'), ('Grasas saturadas', '5.9 g'), ('Sodio', '254.7 mg')]"
Pavlova con frutos rojos y coulis de frambuesa,4.4,27 valoraciones,medio,30min,4h 40min,12 raciones,"['200 g de frambuesas (frescas o congeladas)', '100 g de azúcar', '20 g de zumo de limón', '330 g de azúcar', '250 g de clara de huevo (aprox. 8 claras de huevo), a temperatura ambiente', '1 cucharada de azúcar vainillado', '1 pellizco de cremor tártaro', '1 cucharadita de vinagre', '2 cucharadas de maicena', '600 g de nata (35% de grasa)', '20 g de frambuesas frescas', '500 g de frutos rojos frescos variados']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '345 kcal / 1451 kJ'), ('Proteína', '4 g'), ('Grasa', '18 g'), ('Carbohidratos', '43 g'), ('Fibra', '3 g'), ('Grasas saturadas', '11.4 g'), ('Sodio', '90.4 mg')]"
Brazo de gitano de gambas y salmón,4.6,226 valoraciones,medio,30min,12h 40min,12 rodajas,"['4 huevos', '120 g de azúcar', '120 g de harina de repostería', '1 pellizco de sal', '250 - 300 g de langostinos cocidos pelados', '130 - 150 g de mayonesa', '20 g de kétchup', '50 g de huevas de mújol', '10 - 15 g de coñac\no bien 10 - 15 g de brandy', '50 - 60 g de atún en aceite de oliva escurrido', '200 g de salmón ahumado en lonchas finas']","[('Inf. nutricional', 'por 1 rodaja'), ('Calorías', '261 kcal / 1093 kJ'), ('Proteína', '14.6 g'), ('Grasa', '14.7 g'), ('Carbohidratos', '17.7 g'), ('Fibra', '0.4 g'), ('Grasas saturadas', '2.5 g'), ('Sodio', '572.7 mg')]"
"Pilpil de garbanzos, acelgas y bacalao",4.5,29 valoraciones,medio,20min,1h,4 raciones,"['150 g de aceite de oliva virgen extra', '1 - 2 pimientas de Cayena secas enteras', '3 - 4 dientes de ajo', '350 - 400 g de bacalao en salazón remojado y desalado (con piel) en trozos de 3-4 cm', '500 g de acelgas con penca en trozos de 2-3 cm', '1 hoja de laurel seca', '1 clavo', '100 g de agua', '400 g de garbanzos cocidos (en conserva) aclarados y escurridos']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '628 kcal / 2627 kJ'), ('Proteína', '42.1 g'), ('Grasa', '41.1 g'), ('Carbohidratos', '22.6 g'), ('Fibra', '11.6 g'), ('Grasas saturadas', '5.9 g'), ('Sodio', '594.7 mg')]"
Medias noches,4.7,212 valoraciones,medio,15min,1h 20min,35 unidades,"['170 g de leche', '75 g de azúcar', '120 g de mantequilla Lurpak®', '25 g de levadura prensada fresca', '4 huevos', '550 g de harina de fuerza', '1 cucharadita de sal', '1 huevo batido para pintar']","[('Inf. nutricional', 'por 35 unidades'), ('Calorías', '3638.7 kcal / 15209.9 kJ'), ('Proteína', '102.5 g'), ('Grasa', '146.7 g'), ('Carbohidratos', '479.5 g'), ('Fibra', '21 g'), ('Grasas saturadas', '74.3 g'), ('Sodio', '2079.2 mg')]"
Crêpes rellenos de requesón con naranja y romero (Sin azúcar),4.5,19 valoraciones,medio,30min,1h,8 raciones,"['40 g de zumo de naranja recién exprimido', '40 g de miel', '1 pellizco de romero seco desmenuzado', '1 cucharada de licor de naranja (opcional)', '2 - 3 naranjas en gajos a vivo (sin nada de parte blanca)', '25 g de mantequilla', '300 g de leche', '130 g de harina de repostería', '2 huevos', '1 pellizco de sal', '200 g de nata (30-40% de grasa)', '200 g de requesón', '30 g de zumo de naranja recién exprimido', '50 - 70 g de miel', '½ cucharadita de piel de naranja rallada', '1 pellizco de romero seco desmenuzado', '1 - 2 cucharadas de almendras laminadas tostadas']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '320 kcal / 1339 kJ'), ('Proteína', '9 g'), ('Grasa', '18.8 g'), ('Carbohidratos', '28.6 g'), ('Fibra', '1.7 g'), ('Grasas saturadas', '9.3 g'), ('Sodio', '161.2 mg')]"
Fondue en pan de payés,4.8,34 valoraciones,medio,15min,1h 15min,10 raciones,"['1 pan rústico (600 g aprox.)', '250 g de queso emmental en trozos', '250 g de queso manchego en trozos', '300 g de cebolletas en cuartos', '400 g de agua', '2 pellizcos de pimienta molida', '250 g de mayonesa']","[('Inf. nutricional', 'por 1 raciones'), ('Calorías', '473 kcal / 1981 kJ'), ('Proteína', '16.7 g'), ('Grasa', '35 g'), ('Carbohidratos', '23.4 g'), ('Fibra', '2.3 g'), ('Grasas saturadas', '12.4 g'), ('Sodio', '646 mg')]"
Hamburguesas de arroz integral,4.4,54 valoraciones,medio,15min,45min,12 unidades,"['100 g de garbanzos secos', '1000 g de agua', '1 ½ cucharaditas de sal', '150 g de arroz integral', '190 - 200 g de champiñones enteros en conserva (escurridos)', '1 cucharadita de ajo en polvo', '40 g de almendras tostadas sin sal\no bien 40 g de avellanas tostadas', '20 g de aceite de oliva', '2 huevos', '80 g de pan rallado', '200 - 300 g de aceite para freír']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '299 kcal / 1253 kJ'), ('Proteína', '5.7 g'), ('Grasa', '22 g'), ('Carbohidratos', '21 g'), ('Fibra', '2.3 g'), ('Grasas saturadas', '2 g'), ('Sodio', '373.1 mg')]"
Empanada de sardinas,4.0,25 valoraciones,medio,15min,1h 15min,9 raciones,"['2 dientes de ajo', '500 g de cebolla en cuartos', '200 g de pimiento rojo en trozos', '70 g de aceite de oliva virgen extra', '10 - 12 hebras de azafrán', '1 pellizco de sal', '400 g de harina', '180 g de mantequilla', '70 g de agua', '1 huevo', '1 cucharadita de sal', '1 cucharadita de levadura química en polvo', '12 sardinas frescas enteras limpias (sin cabeza ni espina y limpias de escamas)', '1 huevo batido para pintar']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '461 kcal / 1929 kJ'), ('Proteína', '13.85 g'), ('Grasa', '28.65 g'), ('Carbohidratos', '37.05 g'), ('Fibra', '3 g')]"
Bacalao confitado con pimientos rojos y emulsión de pilpil,4.6,32 valoraciones,medio,30min,1h 10min,48 raciones,"['150 g de aceite de oliva virgen extra', '150 g de aceite de girasol', '6 dientes de ajo', '1 - 2 de hojas de laurel secas', '1 trozo de guindilla roja', '4 lomos de bacalao desalado (500 g) con piel', '½ pimiento rojo cortado en tiras', '700 g de agua', '3 - 4 patatas cortadas en rodajas gruesas', '3 - 4 pellizcos de sal']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '53 kcal / 221 kJ'), ('Proteína', '2.1 g'), ('Grasa', '4.3 g'), ('Carbohidratos', '1.5 g'), ('Fibra', '0.2 g')]"
Miguelitos (Castilla la Mancha),4.4,18 valoraciones,medio,20min,2h,15 unidades,"['200 g de harina de repostería', '200 g de mantequilla en trozos pequeños (1-2 cm) y congelada', '90 g de agua muy fría', '1 pellizco de sal', '250 g de leche', '30 g de harina de repostería', '1 huevo', '1 yema de huevo', '½ sobre de azúcar vainillado', '40 g de azúcar', '1 cucharada de azúcar glas']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '188 kcal / 786 kJ'), ('Proteína', '2.9 g'), ('Grasa', '12.7 g'), ('Carbohidratos', '15.5 g'), ('Fibra', '0.5 g')]"
"Bacalao con tomate, patatas panadera y guisantes",4.5,143 valoraciones,medio,20min,1h,8 raciones,"['1000 g de bacalao en salazón (ver sugerencia)', '100 g de aceite de oliva', '100 g de agua', '600 g de patatas en rodajas de 5 mm', '100 g de pimientos verdes en juliana', '1 ½ cucharaditas de sal', '100 g de cebolla en cuartos', '2 dientes de ajo', '800 g de tomate triturado en conserva', '1 cucharadita de azúcar', '1 - 2 pellizcos de pimienta molida', '200 g de guisantes (frescos o congelados)', '8 cucharadas de mayonesa']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '466 kcal / 1950 kJ'), ('Proteína', '27.3 g'), ('Grasa', '31.6 g'), ('Carbohidratos', '18.3 g'), ('Fibra', '3.9 g'), ('Grasas saturadas', '4.6 g'), ('Sodio', '557.2 mg')]"
Hamburguesas de buey y aceituna con cebolla caramelizada,4.9,17 valoraciones,medio,30min,3h,4 unidades,"['90 g de leche', '1 chorrito de zumo de limón', '190 g de harina de fuerza', '90 g de harina de repostería (y algo más para espolvorear)', '40 g de azúcar', '1 cucharadita rasa de sal', '1 huevo', '1 yema de huevo', '15 g de mantequilla a temperatura ambiente', '5 g de levadura prensada fresca', 'aceite (para engrasar el molde)', '1 clara de huevo', '2 cebollas rojas cortadas en rodajas de 5 mm (aprox. 400 g)', '30 g de aceite', '1 pellizco de sal', '1 cucharada de vinagre de manzana', '1 diente de ajo', '80 g de aceitunas verdes sin hueso', '25 g de chiles jalapeños en conserva', '1 cucharada de vinagre de manzana', '1 cucharada de salsa de soja', '1 cucharada de mostaza de grano entero', '½ cucharadita de pimienta negra molida', '500 g de carne de buey picada', '10 g de aceite', '4 lonchas de queso cheddar', '4 cucharadas de mayonesa', '2 cogollos de Tudela', '50 g de berros', 'salsa de soja', '1 tarro de chiles jalapeños en conserva (para servir)']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '912 kcal / 3813 kJ'), ('Proteína', '42.6 g'), ('Grasa', '51.2 g'), ('Carbohidratos', '70.2 g'), ('Fibra', '6.2 g')]"
Malfatti de espinacas con setas,4.3,156 valoraciones,medio,20min,40min,4 raciones,"['200 g de agua', '300 g de hojas de espinaca frescas', '50 g de queso ricota\no bien 50 g de queso cremoso', '120 g de harina', '1 huevo', '60 g de queso parmesano rallado', '½ cucharadita de sal', '1 pellizco de pimienta molida', '2 pellizcos de nuez moscada molida', '150 g de cebolla', '2 dientes de ajo', '50 g de aceite de oliva', 'agua', '150 g de setas shiitake frescas', '150 g de setas portobello frescas en cuartos', '150 g de champiñones frescos en cuartos', '2 ½ - 3 ½ cucharaditas de sal', '50 g de vino tinto', '1 ramita de romero fresco (hojas)', '1 pellizco de pimienta molida', '2 - 3 cucharadas de queso parmesano rallado (para espolvorear)', '1 chorrito de nata (40-50 g)']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '396.5 kcal / 1658 kJ'), ('Proteína', '19.1 g'), ('Grasa', '23.7 g'), ('Carbohidratos', '26.6 g'), ('Fibra', '5.8 g')]"
Chimichangas,4.7,173 valoraciones,medio,20min,40min,4 raciones,"['150 g de pimiento rojo en trozos', '150 g de pimiento verde', '150 g de cebolla en cuartos', '2 dientes de ajo', '50 g de aceite de oliva', '500 g de pechuga de pollo sin piel (en dados de 2-3 cm)', '1 sobre de condimento mexicano para fajitas y tacos', '30 g de tomate concentrado', '8 tortillas de trigo', '100 - 150 g de aceite para freír', '200 - 250 g de lechuga romana, cortada en juliana', '2 - 3 tomates maduros cortados en dados (1,5 cm)', '1 aguacate en medias rojadas', '100 - 150 g de crème fraîche']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '770 kcal / 3217 kJ'), ('Proteína', '36.8 g'), ('Grasa', '47.2 g'), ('Carbohidratos', '49.4 g'), ('Fibra', '10.4 g')]"
Bombones de sushi,4.8,86 valoraciones,medio,20min,1h 10min,8 raciones,"['30 g de vinagre de arroz', '10 g de azúcar', '1 ½ cucharaditas de sal', '1000 g de agua', '175 g de arroz de grano redondo', '1 cucharada de semillas de sésamo negro', '1 cucharada de semillas de sésamo tostado', '2 cucharadas de aceite de girasol', '½ aguacate', '3 palitos de cangrejo cortados en 3 trozos', '8 lonchas de salmón fresco sin piel ni espinas (de aprox. 8x3 cm)', '4 cucharaditas de queso cremoso', '4 cucharaditas de cebollino fresco picado', '8 lonchas de atún fresco (de aprox. 8x3 cm)', '8 colas de langostino cocido peladas', '1 cucharada colmada de mayonesa', '1 cucharadita de wasabi en pasta (y un poco más para servir)', '100 - 150 g de salsa de soja']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '254 kcal / 1064 kJ'), ('Proteína', '16.2 g'), ('Grasa', '12.2 g'), ('Carbohidratos', '19.5 g'), ('Fibra', '36.6 g')]"
